"candidate_id","name_zh","wikidata_id","discovery_categories","discovery_source","already_in_corpus","candidate_status","retrieved_at"
"Q4523551","伯阳父","Q4523551","中国哲学家","https://zh.wikipedia.org/wiki/%E4%BC%AF%E9%98%B3%E7%88%B6","false","awaiting-scope-review","2026-07-17"
"Q1207671","曾子","Q1207671","中国思想家","https://zh.wikipedia.org/wiki/%E6%9B%BE%E5%AD%90","true","already-included","2026-07-17"
"Q9364538","陈嘉映","Q9364538","中国哲学家","https://zh.wikipedia.org/wiki/%E9%99%88%E5%98%89%E6%98%A0","false","awaiting-scope-review","2026-07-17"
"Q109174567","陈修斋","Q109174567","中国哲学家","https://zh.wikipedia.org/wiki/%E9%99%88%E4%BF%AE%E6%96%8B","false","awaiting-scope-review","2026-07-17"
"Q5090947","陈序经","Q5090947","中华民国大陆时期思想家;中华人民共和国思想家","https://zh.wikipedia.org/wiki/%E9%99%88%E5%BA%8F%E7%BB%8F","false","awaiting-scope-review","2026-07-17"
"Q60694063","陳特","Q60694063","中国伦理学家","https://zh.wikipedia.org/wiki/%E9%99%B3%E7%89%B9","false","awaiting-scope-review","2026-07-17"
"Q15941670","程廷祚","Q15941670","清朝思想家","https://zh.wikipedia.org/wiki/%E7%A8%8B%E5%BB%B7%E7%A5%9A","false","awaiting-scope-review","2026-07-17"
"Q11054085","崔適","Q11054085","中华民国大陆时期思想家","https://zh.wikipedia.org/wiki/%E5%B4%94%E9%81%A9","false","awaiting-scope-review","2026-07-17"
"Q714369","戴震","Q714369","清朝思想家","https://zh.wikipedia.org/wiki/%E6%88%B4%E9%9C%87","true","already-included","2026-07-17"
"Q962160","德里克·帕菲特","Q962160","中国哲学家","https://zh.wikipedia.org/wiki/%E5%BE%B7%E9%87%8C%E5%85%8B%C2%B7%E5%B8%95%E8%8F%B2%E7%89%B9","false","awaiting-scope-review","2026-07-17"
"Q2495593","鄧析","Q2495593","中国逻辑学家","https://zh.wikipedia.org/wiki/%E9%84%A7%E6%9E%90","false","awaiting-scope-review","2026-07-17"
"Q9384006","东南三贤","Q9384006","宋朝思想家","https://zh.wikipedia.org/wiki/%E4%B8%9C%E5%8D%97%E4%B8%89%E8%B4%A4","false","awaiting-scope-review","2026-07-17"
"Q112966065","樊和平","Q112966065","中国伦理学家","https://zh.wikipedia.org/wiki/%E6%A8%8A%E5%92%8C%E5%B9%B3","false","awaiting-scope-review","2026-07-17"
"Q11084856","方東樹","Q11084856","中国思想家","https://zh.wikipedia.org/wiki/%E6%96%B9%E6%9D%B1%E6%A8%B9","false","awaiting-scope-review","2026-07-17"
"Q12165238","方以智","Q12165238","明朝思想家","https://zh.wikipedia.org/wiki/%E6%96%B9%E4%BB%A5%E6%99%BA","false","awaiting-scope-review","2026-07-17"
"Q7210422","费密","Q7210422","清朝思想家","https://zh.wikipedia.org/wiki/%E8%B4%B9%E5%AF%86","false","awaiting-scope-review","2026-07-17"
"Q10895303","冯定","Q10895303","中国哲学家","https://zh.wikipedia.org/wiki/%E5%86%AF%E5%AE%9A","false","awaiting-scope-review","2026-07-17"
"Q22774204","冯契","Q22774204","中国哲学家","https://zh.wikipedia.org/wiki/%E5%86%AF%E5%A5%91","true","already-included","2026-07-17"
"Q5443379","馮桂芬","Q5443379","清朝思想家","https://zh.wikipedia.org/wiki/%E9%A6%AE%E6%A1%82%E8%8A%AC","false","awaiting-scope-review","2026-07-17"
"Q3090484","傅山","Q3090484","中国思想家","https://zh.wikipedia.org/wiki/%E5%82%85%E5%B1%B1","false","awaiting-scope-review","2026-07-17"
"Q19267839","甘阳","Q19267839","中国政治哲学家","https://zh.wikipedia.org/wiki/%E7%94%98%E9%98%B3","false","awaiting-scope-review","2026-07-17"
"Q19327316","高名凯","Q19327316","中国哲学家","https://zh.wikipedia.org/wiki/%E9%AB%98%E5%90%8D%E5%87%AF","false","awaiting-scope-review","2026-07-17"
"Q14942746","高攀龙","Q14942746","明朝思想家","https://zh.wikipedia.org/wiki/%E9%AB%98%E6%94%80%E9%BE%99","false","awaiting-scope-review","2026-07-17"
"Q15901640","高齐云","Q15901640","中国哲学家","https://zh.wikipedia.org/wiki/%E9%AB%98%E9%BD%90%E4%BA%91","false","awaiting-scope-review","2026-07-17"
"Q1362266","公孙龙","Q1362266","中国逻辑学家","https://zh.wikipedia.org/wiki/%E5%85%AC%E5%AD%99%E9%BE%99","true","already-included","2026-07-17"
"Q18835426","公子目夷","Q18835426","中国思想家","https://zh.wikipedia.org/wiki/%E5%85%AC%E5%AD%90%E7%9B%AE%E5%A4%B7","false","awaiting-scope-review","2026-07-17"
"Q1041328","龚自珍","Q1041328","清朝思想家","https://zh.wikipedia.org/wiki/%E9%BE%9A%E8%87%AA%E7%8F%8D","true","already-included","2026-07-17"
"Q120735825","顾骧","Q120735825","中国哲学家","https://zh.wikipedia.org/wiki/%E9%A1%BE%E9%AA%A7","false","awaiting-scope-review","2026-07-17"
